source_pdf,package_dir,kind,item,ok,layout_similarity,draw_length_m,segments_total,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_01,True,0.965309,8.07,12833,"0.000..179.914 x, -293.675..-16.325 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_01.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_01.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_01.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_01.svg,font=Caveat
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_02,True,0.966768,2.684,4307,"0.000..180.000 x, -277.338..-32.566 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_02.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_02.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_02.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_02.svg,font=Caveat
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_03,True,0.976076,1.44,2861,"0.000..179.929 x, -249.747..-60.371 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_03.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_03.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_03.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_03.svg,font=Caveat
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_04,True,0.963152,3.416,1844,"5.918..174.082 x, -295.000..-15.000 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_04.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_04.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_04.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_04.svg,font=Caveat
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_05,True,0.96646,2.613,154,"12.961..167.039 x, -295.000..-15.000 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_05.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_05.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_05.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_05.svg,font=Caveat
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_06,True,0.969828,3.755,6092,"0.000..179.878 x, -294.387..-15.613 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_06.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_06.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_06.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_06.svg,font=Caveat
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_07,True,0.968987,3.456,5109,"0.000..179.919 x, -261.555..-48.375 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_07.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_07.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_07.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_07.svg,font=Caveat
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_08,True,0.977245,3.607,3966,"0.000..180.000 x, -294.726..-15.338 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_08.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_08.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_08.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_08.svg,font=Caveat
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_09,True,0.983475,2.574,2733,"0.000..179.910 x, -290.697..-19.275 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_09.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_09.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_09.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_09.svg,font=Caveat
C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack,toe_handwriting,page_10,True,0.954253,2.439,3647,"0.000..180.000 x, -239.914..-70.086 y",C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_10.nc,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_10.gcode,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_10.pdf,C:\plotter_pdf\1\TOE_Zadachi_1_2_Variant_26_pack\pages\page_10.svg,font=Caveat
