source_pdf,package_dir,kind,item,ok,layout_similarity,draw_length_m,segments_total,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack,toe_handwriting,page_01,True,0.948389,8.646,12899,"1.714..178.173 x, -294.885..-15.000 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_01.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_01.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_01.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_01.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.465590
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack,toe_handwriting,page_02,True,0.96634,3.733,7448,"0.045..180.000 x, -281.101..-28.932 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_02.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_02.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_02.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_02.svg,font=Marck Script; variant=contours_off; contours=off; page_override=yes; reused_existing; iou=0.189970
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack,toe_handwriting,page_03,True,0.939945,3.409,4957,"0.000..179.963 x, -285.966..-23.984 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_03.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_03.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_03.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_03.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.092963
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack,toe_handwriting,page_04,True,0.979089,1.165,1918,"0.139..179.861 x, -294.741..-15.000 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_04.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_04.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_04.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_04.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.139135
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack,toe_handwriting,page_05,True,0.934758,3.175,4442,"0.013..179.927 x, -258.704..-51.263 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_05.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_05.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_05.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_05.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.134386
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack,toe_handwriting,page_06,True,0.943229,4.366,6479,"0.069..180.000 x, -292.967..-17.204 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_06.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_06.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_06.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_06.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.302221
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack,toe_handwriting,page_07,True,0.937105,2.341,2843,"0.104..179.932 x, -259.138..-50.892 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_07.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_07.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_07.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_07.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.239936
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack,toe_handwriting,page_08,True,0.966789,3.32,3892,"0.000..179.971 x, -289.693..-20.202 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_08.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_08.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_08.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_08.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.121869
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack,toe_handwriting,page_09,True,0.984682,2.378,3312,"0.000..179.943 x, -275.423..-34.511 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_09.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_09.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_09.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_09.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.437316
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack,toe_handwriting,page_10,True,0.977208,1.213,1269,"0.000..179.966 x, -260.078..-49.919 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_10.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_10.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_10.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_10.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.037786
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack,toe_handwriting,page_11,True,0.957751,2.407,5700,"0.000..180.000 x, -189.886..-120.114 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_11.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_11.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_11.svg,font=Neucha; variant=always; contours=always; page_override=no; reused_existing; iou=0.347316
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack,toe_handwriting,page_12,True,0.960624,10.14,15743,"0.000..180.000 x, -293.744..-16.262 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_12.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_12.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_12.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_4_pack\pages\page_12.svg,font=Neucha; variant=contours_off; contours=off; page_override=yes; reused_existing; iou=0.485585
