source_pdf,package_dir,kind,item,ok,layout_similarity,selected_variant,source_fidelity_score,fragmentation_score,draw_length_m,segments_total,pen_down_strokes,tiny_strokes_lt_08_mm,point_like_strokes,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\Компьютерная графика\8 вариант\Втулка.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\Втулка_pack,drawing,page_01,True,0.957119,mupdf_svg_paths,0.918834,0.964191,5.308,1566,380,52,36,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\8 вариант\Втулка_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\8 вариант\Втулка_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\8 вариант\Втулка_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\Втулка_pack\pages\page_01.svg,variant=mupdf_svg_paths; scale=0.972991; clipping=False; source_crop_iou=0.188333; source_crop_corr=0.177765; source_cleanup=direct_pdf_svg; mupdf_svg_paths=True; kompas_source_page_fit_disabled=True; work_area_frame=full; kompas_source_text_preserved=True; kompas_stamp_text_repair=True; kompas_text_lines=0; kompas_text_rendered=0; kompas_stamp_text_rendered=125; kompas_clean_bbox_scale=0.972991; clipped_segments=0
C:\plotter_pdf\Компьютерная графика\8 вариант\Заглушка.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\Заглушка_pack,drawing,page_01,True,0.957268,mupdf_svg_paths,0.918977,0.964668,5.215,1533,380,51,33,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\8 вариант\Заглушка_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\8 вариант\Заглушка_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\8 вариант\Заглушка_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\Заглушка_pack\pages\page_01.svg,variant=mupdf_svg_paths; scale=0.972991; clipping=False; source_crop_iou=0.180213; source_crop_corr=0.166341; source_cleanup=direct_pdf_svg; mupdf_svg_paths=True; kompas_source_page_fit_disabled=True; work_area_frame=full; kompas_source_text_preserved=True; kompas_stamp_text_repair=True; kompas_text_lines=0; kompas_text_rendered=0; kompas_stamp_text_rendered=126; kompas_clean_bbox_scale=0.972991; clipped_segments=0
C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 1 Маховик.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 1 Маховик_pack,drawing,page_01,True,0.956867,mupdf_svg_paths,0.918592,0.969694,5.27,1489,362,41,26,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 1 Маховик_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 1 Маховик_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 1 Маховик_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 1 Маховик_pack\pages\page_01.svg,variant=mupdf_svg_paths; scale=0.972991; clipping=False; source_crop_iou=0.172788; source_crop_corr=0.176394; source_cleanup=direct_pdf_svg; mupdf_svg_paths=True; kompas_source_page_fit_disabled=True; work_area_frame=full; kompas_source_text_preserved=True; kompas_stamp_text_repair=True; kompas_text_lines=0; kompas_text_rendered=0; kompas_stamp_text_rendered=126; kompas_clean_bbox_scale=0.972991; clipped_segments=0
C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1).pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack,drawing,pass_01,True,,custom_tiled_clean_source,0.966206,0.872997,2.67,690,352,47,25,"15.860..180.000 x, -200.672..-5.000 y",C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_01.nc,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_01.gcode,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_01.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_01.svg,scale=1.0; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=2; tile_col=1; tile_row=1
C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1).pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack,drawing,pass_02,True,,custom_tiled_clean_source,0.966206,0.872997,3.348,971,478,96,56,"26.147..179.691 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_02.nc,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_02.gcode,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_02.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_02.svg,scale=1.0; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=2; tile_col=2; tile_row=1
C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1).pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack,drawing,pass_03,True,,custom_tiled_clean_source,0.966206,0.872997,3.477,1108,534,97,52,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_03.nc,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_03.gcode,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_03.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_03.svg,scale=1.0; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=2; tile_col=1; tile_row=2
C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1).pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack,drawing,pass_04,True,,custom_tiled_clean_source,0.966206,0.872997,3.829,1537,744,189,107,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_04.nc,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_04.gcode,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_04.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (1)_pack\pages\pass_04.svg,scale=1.0; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=2; tile_col=2; tile_row=2
C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2).pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack,drawing,pass_01,True,,custom_tiled_clean_source,0.963342,0.860108,2.95,496,262,29,19,"0.006..180.000 x, -278.227..-5.000 y",C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_01.nc,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_01.gcode,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_01.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_01.svg,scale=1.0; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=2; tile_col=1; tile_row=1
C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2).pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack,drawing,pass_02,True,,custom_tiled_clean_source,0.963342,0.860108,4.187,1115,597,155,102,"17.680..179.691 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_02.nc,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_02.gcode,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_02.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_02.svg,scale=1.0; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=2; tile_col=2; tile_row=1
C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2).pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack,drawing,pass_03,True,,custom_tiled_clean_source,0.963342,0.860108,3.298,821,431,86,48,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_03.nc,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_03.gcode,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_03.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_03.svg,scale=1.0; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=2; tile_col=1; tile_row=2
C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2).pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack,drawing,pass_04,True,,custom_tiled_clean_source,0.963342,0.860108,3.619,1458,718,190,105,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_04.nc,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_04.gcode,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_04.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\ЛБ 2 (2)_pack\pages\pass_04.svg,scale=1.0; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=2; tile_col=2; tile_row=2
C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной_pack,drawing,pass_01,True,,custom_tiled_clean_source,0.937313,0.823632,5.416,2006,823,144,62,"0.112..180.000 x, -242.082..-5.000 y",C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной_pack\pages\pass_01.nc,C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной_pack\pages\pass_01.gcode,C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной_pack\pages\pass_01.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной_pack\pages\pass_01.svg,scale=1.0; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=2; tile_col=1; tile_row=1
C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной_pack,drawing,pass_02,True,,custom_tiled_clean_source,0.937313,0.823632,7.333,3239,1294,309,194,"0.000..179.691 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной_pack\pages\pass_02.nc,C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной_pack\pages\pass_02.gcode,C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной_pack\pages\pass_02.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной_pack\pages\pass_02.svg,scale=1.0; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=2; tile_col=2; tile_row=1
C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной_pack,drawing,pass_03,True,,custom_tiled_clean_source,0.937313,0.823632,7.183,2761,1372,336,181,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной_pack\pages\pass_03.nc,C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной_pack\pages\pass_03.gcode,C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной_pack\pages\pass_03.pdf,C:\plotter_pdf\Компьютерная графика\8 вариант\МЧ00.01.00.00 СБ Клапан перепускной_pack\pages\pass_03.svg,scale=1.0; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=2; tile_col=1; tile_row=2
