source_pdf,package_dir,kind,item,ok,layout_similarity,draw_length_m,segments_total,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\Компьютерная графика\Втулка.pdf,C:\plotter_pdf\Компьютерная графика\Втулка_pack,drawing,page_01,True,0.984832,9.356,5509,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Компьютерная графика\Втулка_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\Втулка_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\Втулка_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\Втулка_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.038295; source_crop_corr=0.018036; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9753; header_scale_x=0.9728; header_scale_y=0.9753; header_content_paths=15; header_text_paths=0; header_thumb_target_w=0.00; header_text_scale=1.0000; detail_bbox=158.26x143.01 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Компьютерная графика\Заглушка.pdf,C:\plotter_pdf\Компьютерная графика\Заглушка_pack,drawing,page_01,True,0.985235,8.986,5278,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Компьютерная графика\Заглушка_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\Заглушка_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\Заглушка_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\Заглушка_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.037379; source_crop_corr=0.012235; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9753; header_scale_x=0.9728; header_scale_y=0.9753; header_content_paths=14; header_text_paths=0; header_thumb_target_w=0.00; header_text_scale=1.0000; detail_bbox=156.76x158.10 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Компьютерная графика\ЛБ 1 Маховик.pdf,C:\plotter_pdf\Компьютерная графика\ЛБ 1 Маховик_pack,drawing,page_01,True,0.985734,8.856,5152,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Компьютерная графика\ЛБ 1 Маховик_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\ЛБ 1 Маховик_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\ЛБ 1 Маховик_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\ЛБ 1 Маховик_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.035127; source_crop_corr=0.006547; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9753; header_scale_x=0.9728; header_scale_y=0.9753; header_content_paths=13; header_text_paths=0; header_thumb_target_w=0.00; header_text_scale=1.0000; detail_bbox=151.37x168.44 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.00 СП Клапан перепускной.pdf,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.00 СП Клапан перепускной_pack,drawing,page_01,True,0.969655,22.436,10945,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.00 СП Клапан перепускной_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.00 СП Клапан перепускной_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.00 СП Клапан перепускной_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.00 СП Клапан перепускной_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.056402; source_crop_corr=0.018283; detail_scale=1.0; frame_scale_x=0.9754; frame_scale_y=0.9754; header_scale_x=0.9754; header_scale_y=0.9754; header_content_paths=448; header_text_paths=0; header_thumb_target_w=0.00; header_text_scale=1.0000; detail_bbox=180.00x194.15 mm; condition_images_recovered=0; point_boxes_replaced=15; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.03 Колпак.pdf,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.03 Колпак_pack,drawing,page_01,True,0.982116,10.223,7144,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.03 Колпак_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.03 Колпак_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.03 Колпак_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.03 Колпак_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.035577; source_crop_corr=0.004771; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9753; header_scale_x=0.9728; header_scale_y=0.9753; header_content_paths=15; header_text_paths=0; header_thumb_target_w=0.00; header_text_scale=1.0000; detail_bbox=173.23x212.71 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.04 Клапан.pdf,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.04 Клапан_pack,drawing,page_01,True,0.97824,12.505,8310,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.04 Клапан_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.04 Клапан_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.04 Клапан_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.04 Клапан_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.043266; source_crop_corr=0.013156; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9753; header_scale_x=0.9728; header_scale_y=0.9753; header_content_paths=16; header_text_paths=0; header_thumb_target_w=0.00; header_text_scale=1.0000; detail_bbox=170.85x191.84 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.05 Тарелка.pdf,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.05 Тарелка_pack,drawing,page_01,True,0.987063,8.457,5195,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.05 Тарелка_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.05 Тарелка_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.05 Тарелка_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.05 Тарелка_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.033591; source_crop_corr=0.009062; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9753; header_scale_x=0.9728; header_scale_y=0.9753; header_content_paths=19; header_text_paths=0; header_thumb_target_w=0.00; header_text_scale=1.0000; detail_bbox=125.93x186.40 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.06 Пружина.pdf,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.06 Пружина_pack,drawing,page_01,True,0.982105,9.071,9024,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.06 Пружина_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.06 Пружина_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.06 Пружина_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.06 Пружина_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.034563; source_crop_corr=0.004712; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9753; header_scale_x=0.9728; header_scale_y=0.9753; header_content_paths=14; header_text_paths=0; header_thumb_target_w=0.00; header_text_scale=1.0000; detail_bbox=125.92x220.75 mm; condition_images_recovered=0; point_boxes_replaced=1; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.07 Винт М16.pdf,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.07 Винт М16_pack,drawing,page_01,True,0.988825,8.354,5727,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.07 Винт М16_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.07 Винт М16_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.07 Винт М16_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\МЧ00.01.00.07 Винт М16_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.035392; source_crop_corr=0.013606; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9754; header_scale_x=0.9728; header_scale_y=0.9754; header_content_paths=15; header_text_paths=0; header_thumb_target_w=0.00; header_text_scale=1.0000; detail_bbox=160.22x145.69 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Компьютерная графика\Переходник.pdf,C:\plotter_pdf\Компьютерная графика\Переходник_pack,drawing,page_01,True,0.978495,13.233,7089,"0.000..180.000 x, -295.000..-15.000 y",C:\plotter_pdf\Компьютерная графика\Переходник_pack\pages\page_01.nc,C:\plotter_pdf\Компьютерная графика\Переходник_pack\pages\page_01.gcode,C:\plotter_pdf\Компьютерная графика\Переходник_pack\pages\page_01.pdf,C:\plotter_pdf\Компьютерная графика\Переходник_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.043117; source_crop_corr=0.010832; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9754; header_scale_x=0.9728; header_scale_y=0.9754; header_content_paths=16; header_text_paths=0; header_thumb_target_w=0.00; header_text_scale=1.0000; detail_bbox=180.00x199.87 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
