source_pdf,package_dir,kind,item,ok,layout_similarity,selected_variant,source_fidelity_score,fragmentation_score,draw_length_m,segments_total,pen_down_strokes,tiny_strokes_lt_08_mm,point_like_strokes,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\Начерт\24 варинт\_generated_pdf\Задача 1.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 1_pack,drawing,page_01,True,0.968428,a4_hybrid_frame,0.929691,0.96335,9.756,16618,1291,101,49,"0.000..180.000 x, -288.042..-21.981 y",C:\plotter_pdf\Начерт\24 варинт\Задача 1_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\24 варинт\Задача 1_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\24 варинт\Задача 1_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 1_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.123165; source_crop_corr=0.020379; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9753; header_scale_x=0.9728; header_scale_y=0.9753; header_content_paths=117; header_text_paths=15; header_thumb_target_w=60.00; header_text_scale=0.9200; detail_bbox=179.94x226.85 mm; condition_images_recovered=0; point_boxes_replaced=9; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\24 варинт\_generated_pdf\Задача 2.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 2_pack,drawing,page_01,True,0.982137,a4_hybrid_frame,0.942852,0.978088,5.488,7092,610,63,36,"0.000..180.000 x, -288.460..-21.563 y",C:\plotter_pdf\Начерт\24 варинт\Задача 2_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\24 варинт\Задача 2_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\24 варинт\Задача 2_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 2_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.096449; source_crop_corr=0.070514; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9753; header_scale_x=0.9728; header_scale_y=0.9753; header_content_paths=83; header_text_paths=26; header_thumb_target_w=60.00; header_text_scale=0.9200; detail_bbox=171.69x226.36 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\24 варинт\_generated_pdf\Задача 3.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 3_pack,drawing,pass_01,True,,a3_two_pass_clean_source,0.987725,0.939003,8.929,1388,469,64,27,"0.000..180.000 x, -282.281..-27.719 y",C:\plotter_pdf\Начерт\24 варинт\Задача 3_pack\pages\pass_01.nc,C:\plotter_pdf\Начерт\24 варинт\Задача 3_pack\pages\pass_01.gcode,C:\plotter_pdf\Начерт\24 варинт\Задача 3_pack\pages\pass_01.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 3_pack\pages\pass_01.svg,scale=0.8571; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\24 варинт\_generated_pdf\Задача 3.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 3_pack,drawing,pass_02,True,,a3_two_pass_clean_source,0.987725,0.939003,6.257,1902,594,98,42,"0.000..180.000 x, -279.281..-24.719 y",C:\plotter_pdf\Начерт\24 варинт\Задача 3_pack\pages\pass_02.nc,C:\plotter_pdf\Начерт\24 варинт\Задача 3_pack\pages\pass_02.gcode,C:\plotter_pdf\Начерт\24 варинт\Задача 3_pack\pages\pass_02.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 3_pack\pages\pass_02.svg,scale=0.8571; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; pass_02_rotated_180_for_sheet_flip=True
C:\plotter_pdf\Начерт\24 варинт\_generated_pdf\Задача 4.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 4_pack,drawing,page_01,True,0.979444,a4_hybrid_frame,0.940266,0.977052,8.11,7490,692,61,25,"0.000..180.000 x, -295.000..-15.024 y",C:\plotter_pdf\Начерт\24 варинт\Задача 4_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\24 варинт\Задача 4_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\24 варинт\Задача 4_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 4_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.101145; source_crop_corr=0.044687; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9753; header_scale_x=0.9728; header_scale_y=0.9753; header_content_paths=103; header_text_paths=9; header_thumb_target_w=60.00; header_text_scale=0.9200; detail_bbox=176.23x225.88 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\24 варинт\_generated_pdf\Задача 5.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 5_pack,drawing,page_01,True,0.978645,a4_hybrid_frame,0.939499,0.97595,8.936,8965,761,66,25,"0.000..180.000 x, -295.000..-15.024 y",C:\plotter_pdf\Начерт\24 варинт\Задача 5_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\24 варинт\Задача 5_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\24 варинт\Задача 5_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 5_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.111686; source_crop_corr=0.061522; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9753; header_scale_x=0.9728; header_scale_y=0.9753; header_content_paths=107; header_text_paths=12; header_thumb_target_w=60.00; header_text_scale=0.9200; detail_bbox=178.77x224.48 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\24 варинт\_generated_pdf\Задача 6.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 6_pack,drawing,page_01,True,0.977359,a4_hybrid_frame,0.938265,0.97589,7.157,7844,714,67,35,"0.000..180.000 x, -283.777..-26.245 y",C:\plotter_pdf\Начерт\24 варинт\Задача 6_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\24 варинт\Задача 6_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\24 варинт\Задача 6_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 6_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.100136; source_crop_corr=0.030590; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9753; header_scale_x=0.9728; header_scale_y=0.9753; header_content_paths=71; header_text_paths=11; header_thumb_target_w=60.00; header_text_scale=0.9200; detail_bbox=179.88x225.70 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\24 варинт\_generated_pdf\Задача 7.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 7_pack,drawing,page_01,True,0.977898,a4_hybrid_frame,0.938782,0.970274,8.553,10447,908,101,51,"0.000..180.000 x, -295.000..-15.024 y",C:\plotter_pdf\Начерт\24 варинт\Задача 7_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\24 варинт\Задача 7_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\24 варинт\Задача 7_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 7_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.118123; source_crop_corr=0.086061; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9753; header_scale_x=0.9728; header_scale_y=0.9753; header_content_paths=101; header_text_paths=21; header_thumb_target_w=60.00; header_text_scale=0.9200; detail_bbox=179.88x219.53 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\24 варинт\_generated_pdf\Задача 8.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 8_pack,drawing,page_01,True,0.977056,a4_hybrid_frame,0.937974,0.977444,8.394,8925,714,56,32,"0.000..180.000 x, -292.708..-17.316 y",C:\plotter_pdf\Начерт\24 варинт\Задача 8_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\24 варинт\Задача 8_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\24 варинт\Задача 8_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 8_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.159479; source_crop_corr=0.108398; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9753; header_scale_x=0.9728; header_scale_y=0.9753; header_content_paths=140; header_text_paths=16; header_thumb_target_w=60.00; header_text_scale=0.9200; detail_bbox=179.88x226.57 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
C:\plotter_pdf\Начерт\24 варинт\_generated_pdf\Задача 9.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 9_pack,drawing,page_01,True,0.978722,a4_hybrid_frame,0.939573,0.977685,10.302,8154,743,51,7,"0.000..180.000 x, -295.000..-15.024 y",C:\plotter_pdf\Начерт\24 варинт\Задача 9_pack\pages\page_01.nc,C:\plotter_pdf\Начерт\24 варинт\Задача 9_pack\pages\page_01.gcode,C:\plotter_pdf\Начерт\24 варинт\Задача 9_pack\pages\page_01.pdf,C:\plotter_pdf\Начерт\24 варинт\Задача 9_pack\pages\page_01.svg,variant=a4_hybrid_frame; scale=1.0; clipping=False; source_crop_iou=0.146674; source_crop_corr=0.087258; detail_scale=1.0; frame_scale_x=0.9728; frame_scale_y=0.9753; header_scale_x=0.9728; header_scale_y=0.9753; header_content_paths=244; header_text_paths=0; header_thumb_target_w=0.00; header_text_scale=1.0000; detail_bbox=176.02x227.02 mm; condition_images_recovered=0; point_boxes_replaced=0; title_block_text_lines=0; title_block_text_rendered=0; left_strip_removed=True; outer_border_removed=True
