source_pdf,package_dir,kind,item,ok,layout_similarity,selected_variant,source_fidelity_score,fragmentation_score,draw_length_m,segments_total,pen_down_strokes,tiny_strokes_lt_08_mm,point_like_strokes,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_01,False,,custom_tiled_clean_source,0.938998,0.859838,,,,,,,,,,,No drawable geometry remains after clipping to work area.
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_02,True,,custom_tiled_clean_source,0.938998,0.859838,3.323,1308,436,76,23,"0.000..180.000 x, -282.579..-5.000 y",C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_02.nc,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_02.gcode,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_02.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_02.svg,scale=None; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=10; tile_col=2; tile_row=1
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_03,False,,custom_tiled_clean_source,0.938998,0.859838,,,,,,,,,,,No drawable geometry remains after clipping to work area.
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_04,True,,custom_tiled_clean_source,0.938998,0.859838,3.327,1305,436,76,23,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_04.nc,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_04.gcode,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_04.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_04.svg,scale=None; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=10; tile_col=2; tile_row=2
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_05,False,,custom_tiled_clean_source,0.938998,0.859838,,,,,,,,,,,No drawable geometry remains after clipping to work area.
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_06,True,,custom_tiled_clean_source,0.938998,0.859838,3.318,1296,432,75,23,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_06.nc,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_06.gcode,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_06.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_06.svg,scale=None; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=10; tile_col=2; tile_row=3
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_07,False,,custom_tiled_clean_source,0.938998,0.859838,,,,,,,,,,,No drawable geometry remains after clipping to work area.
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_08,True,,custom_tiled_clean_source,0.938998,0.859838,3.308,1280,431,76,22,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_08.nc,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_08.gcode,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_08.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_08.svg,scale=None; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=10; tile_col=2; tile_row=4
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_09,False,,custom_tiled_clean_source,0.938998,0.859838,,,,,,,,,,,No drawable geometry remains after clipping to work area.
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_10,True,,custom_tiled_clean_source,0.938998,0.859838,3.468,1280,433,76,22,"0.000..180.000 x, -280.481..-5.000 y",C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_10.nc,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_10.gcode,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_10.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_10.svg,scale=None; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=10; tile_col=2; tile_row=5
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_11,False,,custom_tiled_clean_source,0.938998,0.859838,,,,,,,,,,,No drawable geometry remains after clipping to work area.
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_12,True,,custom_tiled_clean_source,0.938998,0.859838,3.506,1322,449,78,24,"0.000..180.000 x, -283.381..-5.000 y",C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_12.nc,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_12.gcode,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_12.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_12.svg,scale=None; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=10; tile_col=2; tile_row=6
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_13,False,,custom_tiled_clean_source,0.938998,0.859838,,,,,,,,,,,No drawable geometry remains after clipping to work area.
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_14,True,,custom_tiled_clean_source,0.938998,0.859838,3.494,1441,495,90,27,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_14.nc,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_14.gcode,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_14.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_14.svg,scale=None; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=10; tile_col=2; tile_row=7
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_15,False,,custom_tiled_clean_source,0.938998,0.859838,,,,,,,,,,,No drawable geometry remains after clipping to work area.
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_16,True,,custom_tiled_clean_source,0.938998,0.859838,3.506,1406,482,84,29,"0.000..180.000 x, -285.000..-5.000 y",C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_16.nc,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_16.gcode,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_16.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack\pages\pass_16.svg,scale=None; clipping=True; source_cleanup=direct_pdf_svg; left_strip_removed=True; outer_border_removed=True; tile_cols=2; tile_rows=10; tile_col=2; tile_row=8
C:\plotter_pdf\Начерт\3 вариант\_generated_pdf\3 вариант.pdf,C:\plotter_pdf\Начерт\3 вариант\3 вариант_pack,drawing,pass_17,False,,custom_tiled_clean_source,0.938998,0.859838,,,,,,,,,,,No drawable geometry remains after clipping to work area.
