source_pdf,package_dir,kind,item,ok,layout_similarity,draw_length_m,segments_total,bounds,nc,gcode,preview_pdf,preview_svg,notes
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_01,True,0.93326,8.945,14344,"0.000..180.000 x, -289.061..-21.006 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_01.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_01.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_01.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_01.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.320427; source_strategy=font_first_text_rich; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=true; fallback_threshold=0.920; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_02,True,0.97752,3.535,5001,"1.592..178.466 x, -294.986..-15.128 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_02.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_02.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_02.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_02.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.422835; source_strategy=graph_lineart; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_03,True,0.98307,2.706,4955,"0.195..179.887 x, -249.419..-60.624 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_03.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_03.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_03.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_03.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; table_vector_overlay=enabled; variant=raster_safe; iou=0.447439; source_strategy=formula_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=raster_safe; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=override; reason=image_heavy_fallback
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_04,True,0.954546,4.6,6675,"4.668..175.289 x, -295.000..-15.098 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_04.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_04.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_04.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_04.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.313988; source_strategy=formula_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_05,True,0.986913,4.55,7947,"0.000..179.932 x, -294.999..-15.130 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_05.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_05.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_05.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_05.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.480545; source_strategy=formula_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_06,True,0.939101,3.521,4306,"0.090..180.000 x, -254.837..-55.163 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_06.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_06.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_06.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_06.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; table_vector_overlay=enabled; variant=raster_safe; iou=0.312822; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=raster_safe; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=override; reason=image_heavy_fallback
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_07,True,0.946801,6.146,9568,"0.000..179.934 x, -286.722..-23.315 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_07.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_07.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_07.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_07.svg,font=Marck Script; variant=graph_safe; contours=always; page_override=yes; variant=graph_safe; graph_rescue=tuned; iou=0.442055; source_strategy=graph_lineart; primary_font=Marck Script; selected_font=Marck Script; selected_variant=graph_safe; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=override; reason=dominating_candidate
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_08,True,0.939158,3.818,5063,"0.010..179.863 x, -256.748..-53.385 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_08.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_08.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_08.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_08.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; table_vector_overlay=enabled; variant=raster_safe; iou=0.338713; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=raster_safe; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=override; reason=image_heavy_fallback
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_09,True,0.981701,4.154,5922,"0.000..180.000 x, -286.841..-23.254 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_09.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_09.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_09.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_09.svg,font=Marck Script; variant=always; contours=always; page_override=no; iou=0.486355; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=always; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=base
C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack,toe_handwriting,page_10,True,0.988851,3.865,5139,"0.057..179.913 x, -283.940..-26.032 y",C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_10.nc,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_10.gcode,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_10.pdf,C:\plotter_pdf\TOE_Zadachi_1_2_Variant_11_pack\pages\page_10.svg,font=Marck Script; variant=raster_safe; contours=always; page_override=yes; fallback=raster_rewrite_handdraw; body_font=Marck Script; formula_font=Times New Roman; table_vector_overlay=enabled; variant=raster_safe; iou=0.554191; source_strategy=image_heavy; primary_font=Marck Script; selected_font=Marck Script; selected_variant=raster_safe; selected_contours=always; font_first_preferred=false; fallback_threshold=0.946; selection=override; reason=image_heavy_fallback
